ID,MakeText,ModelText,ModelTypeText,TypeName,TypeNameFull,BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText
1045.0,MERCEDES-BENZ,190,190 E 2.5-16 ABS,190 E 2.5-16 ABS,MERCEDES-BENZ 190 E 2.5-16 ABS,Silver,Limousine,2497,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,4,1992,Benzin,195,null,152000,"\"Ab MFK\"",5,Schaltgetriebe manuell
1046.0,BMW,750,750i,750i,BMW 750i,Silver,Limousine,5379,Zuzwil,327 g/km,Occasion,null,14.2 l/100km,4,Hinterradantrieb,3,1997,Benzin,327,schwarz,69600,"\"Ab MFK\"",5,Automat sequentiell
1047.0,Porsche,911,911 Carrera S,911 Carrera S,PORSCHE 911 Carrera S,Silver,Coupé,3824,Zuzwil,277 g/km,Occasion,G,11.5 l/100km,2,Hinterradantrieb,8,2005,Benzin,355,schwarz,39400,"\"Ab MFK\"",4,Schaltgetriebe manuell
1048.0,Ferrari,MONDIAL,Mondial 3.4 T,Mondial 3.4 T,FERRARI Mondial 3.4 T,Silver,Coupé,3402,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,5,1992,Benzin,286,null,16500,"\"Ab MFK\"",4,Schaltgetriebe manuell
1049.0,BMW,X5,X5 4.4i,X5 4.4i,BMW X5 4.4i,Silver,SUV / Geländewagen,4398,Zuzwil,335 g/km,Occasion,G,13.9 l/100km,5,Allrad,3,2002,Benzin,286,beige,60100,"\"Ab MFK\"",5,Automat sequentiell
105.0,Ferrari,F12,F12 Berlinetta,F12 Berlinetta,FERRARI F12 Berlinetta,Blue,Coupé,6262,Zuzwil,350 g/km,Occasion,G,15.0 l/100km,3,Hinterradantrieb,1,2013,Benzin,736,braun,12000,"\"Direkt-/Parallelimport\"",2,Automatisiertes Schaltgetriebe
1050.0,Ford,ESCORT,ESCORT RS 2000,RS 2000,FORD ESCORT RS 2000,Silver,Coupé,1993,Zuzwil,null,Occasion,null,null,3,Hinterradantrieb,3,1978,Benzin,110,schwarz,96600,null,5,Schaltgetriebe
1051.0,MERCEDES-BENZ,SL 320,SL 320,SL 320,MERCEDES-BENZ SL 320,Silver,Cabriolet,3199,Zuzwil,274 g/km,Occasion,G,11.5 l/100km,2,Hinterradantrieb,8,1999,Benzin,224,null,83600,"\"Ab MFK\"",2,Automat
1052.0,Porsche,911,911 Carrera 4S,911 Carrera 4S,PORSCHE 911 Carrera 4S,Silver,Coupé,3824,Zuzwil,285 g/km,Occasion,G,11.8 l/100km,2,Allrad,2,2006,Benzin,355,schwarz,101200,"\"Ab MFK\"",4,Schaltgetriebe manuell
1053.0,Toyota,LAND CRUISER,LAND CRUISER FJ 40,FJ 40,TOYOTA LAND CRUISER FJ 40,Silver,SUV / Geländewagen,4228,Zuzwil,null,Occasion,null,null,3,Allrad,2,1982,Benzin,135,grau,5000,"\"Ab MFK\"",2,Schaltgetriebe manuell
1054.0,MERCEDES-BENZ,SL 500,SL 500,SL 500,MERCEDES-BENZ SL 500,Silver,Cabriolet,4973,Zuzwil,328 g/km,Occasion,null,14.3 l/100km,2,Hinterradantrieb,10,1996,Benzin,320,schwarz,27600,"\"Ab MFK\"",0,Automat
1055.0,Renault,Alpine A110,Alpine A110 1600S,1600S,RENAULT Alpine A110 1600S,Silver,Coupé,1564,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1970,Benzin,124,beige,57700,"\"Ab MFK\"",2,Schaltgetriebe
1056.0,Datsun,280,280 ZX,ZX,DATSUN 280 ZX,Silver,Coupé,2753,Zuzwil,null,Occasion,null,null,3,Hinterradantrieb,3,1981,Benzin,140,rot,50300,"\"Ab MFK\"",2,Schaltgetriebe
1057.0,Porsche,911,911 GT2,911 GT2,PORSCHE 911 GT2,Silver,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Hinterradantrieb,9,2001,Benzin,462,schwarz,53400,"\"Ab MFK\"",4,Schaltgetriebe manuell
1058.0,Lamborghini,MURCIÉLAGO,Murciélago 6.2 Coupé,Murciélago 6.2 Coupé,LAMBORGHINI Murciélago 6.2 Coupé,Silver,Coupé,6192,Porrentruy,500 g/km,Occasion,G,21.5 l/100km,2,Allrad,2,2003,Benzin,580,null,9000,"\"Ab MFK\"",2,Schaltgetriebe manuell
